"i","p","lambda1","lambda2","lambda3","lambda4","mu1","mu3","q12","q13","q21","q23","q24","q31","q32","q34","q42","q43","p.1"
19,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488121924,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372806,0.0912775468803426,2.88247931443041e-05,0.00484645769438956,0.00184767449696072,5.33993524435803e-06,1.20895387453796,0.0284753302803621,2320.13885395644
20,0.00189246657359737,1619.8994362978,1288.02983228208,220.858592946361,0.0157924488119222,0.325276335510029,0.614461181985422,0.000980492644559074,20.8204867905816,0.937764177859452,0.0912596542944624,2.88247661502888e-05,0.00158283950814766,0.0017995370796816,3.36902879194902e-06,1.33665643758348,0.378164063742606,2757.13281691019
21,0.00189880511492152,1619.89945298574,1288.02984069391,220.858592946361,0.0192225405802965,0.326507667214413,0.614461181985422,0.000980492644559074,20.8204867905816,0.937764177859452,0.0912596542944625,2.88247661502904e-05,0.000354392498219958,0.000386409874143585,4.50617494571968e-06,0.415766519822394,0.0491592790794662,2782.63432453792
22,0.00189364531139503,1619.73252615799,1288.02983884929,220.858592946361,0.0565742209461397,0.326505736934054,0.614461181985427,0.000980492644559074,20.8204867905816,0.937764177859452,0.0912596542944626,2.8824766150286e-05,0.000354392498219958,0.000386409874143585,1.5040422052759e-07,1.1475548663663,7.41133431623253,2846.12612647475
23,0.00190284403046666,1619.186376184,1288.04069506569,220.858592946361,0.0561981421031337,0.326505736934054,0.614461181985427,0.000980492644559074,20.8204867905816,0.937764177859461,0.0913274805517026,1.81093848347203e-05,0.000354392498219958,0.000386409874143585,8.40818181989752e-09,1.15165674794922,7.6203707513239,2915.6826937223
24,0.00189268324819284,1619.186376184,1288.04069506569,220.858592946361,0.0561981421031337,0.326505736934054,0.614461181985427,0.323704605297724,20.8204866743333,0.937764859224158,0.0913274805517026,1.81093848347203e-05,0.00035439249821996,0.000386409874143585,8.40818181989972e-09,1.15294120209783,7.49867933990713,2942.13054050565
25,0.00189268324819284,1619.186376184,1288.04069506569,220.858592946361,0.0561981421031337,0.326505736934054,0.614461181985755,0.323704605297724,20.8204866740835,0.937764859224158,0.0913274805517026,0.000311679199820162,7.76662296698645e-05,0.00015583962146387,7.80135415498181e-09,1.16360315406361,7.49851614484402,2988.65761928812
26,0.00189259473373278,1619.18638216853,1288.03964949544,220.858592946361,0.167765495001553,0.336113247518732,0.614461181987259,0.323704605129444,20.8204807847953,0.937712565660306,0.041410562351698,0.000330755550926574,0.000142102356187473,1.85871031090894e-05,7.80458414336588e-09,1.22227167632549,7.2984495819975,3039.54241143128
27,0.00190049601261265,1620.8365171676,1288.03712511757,220.958592328709,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831418614,20.8204439112002,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436058678,1.85871031090894e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3351.99621599967
28,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902562,0.000330755871925727,0.000138817436064192,1.85871031090894e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3442.17225611555
29,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436064281,1.85871031090892e-05,7.80458389506682e-09,1.22227167631178,7.29844205148456,3456.07302930715
30,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436062733,1.85871031090892e-05,7.80458389506682e-09,1.22227167631178,7.29844205148456,3458.98601680754
31,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436062733,1.85871031090892e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3463.38301006836
32,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436062733,1.85871031090892e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3465.21341180084
33,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436062733,1.85871031090892e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3465.21341180084
34,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436062733,1.85871031090892e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3465.21341180084
35,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902562,0.000330755871925727,0.000138817436062733,1.85871031090892e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3465.21341180084
36,0.00190049601261265,1620.8365171676,1288.03712511883,220.958592328708,0.167899736210495,0.33630292261607,0.614444715831389,0.323704831417943,20.8204439112447,0.93626453568854,0.0414086171902563,0.000330755871925727,0.000138817436062733,1.85871031090892e-05,7.80458389506682e-09,1.22227167631179,7.29844205148456,3465.21341180084
